t	u	v	w	p	q	r	phi	psi	theta	h
5.7000000000000028e-01	7.4761110742465590e+01	0.0000000000000000e+00	9.4187681833081238e-01	0.0000000000000000e+00	-5.6363129506822071e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2412369556370194e-02	2.9999972101291892e+03
5.8000000000000029e-01	7.4757086700948108e+01	0.0000000000000000e+00	9.4187231447620057e-01	0.0000000000000000e+00	-5.7462832961668463e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2406733243419512e-02	2.9999970714736278e+03
5.9000000000000030e-01	7.4753065022156235e+01	0.0000000000000000e+00	9.4186812000903508e-01	0.0000000000000000e+00	-5.8553743633182312e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2400986960123345e-02	2.9999969281497579e+03
6.0000000000000031e-01	7.4749045715571540e+01	0.0000000000000000e+00	9.4186428052371329e-01	0.0000000000000000e+00	-5.9636462749102241e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2395131585760026e-02	2.9999967800730196e+03
6.1000000000000032e-01	7.4745028790727076e+01	0.0000000000000000e+00	9.4186083502987472e-01	0.0000000000000000e+00	-6.0711603337559785e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2389167939485116e-02	2.9999966271590683e+03
6.2000000000000033e-01	7.4741014257202139e+01	0.0000000000000000e+00	9.4185781617845299e-01	0.0000000000000000e+00	-6.1779784330753969e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2383096779151359e-02	2.9999964693237962e+03
6.3000000000000034e-01	7.4737002124616950e+01	0.0000000000000000e+00	9.4185525052016050e-01	0.0000000000000000e+00	-6.2841625104227607e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2376918800718284e-02	2.9999963064833487e+03
6.4000000000000035e-01	7.4732992402627360e+01	0.0000000000000000e+00	9.4185315879167386e-01	0.0000000000000000e+00	-6.3897740459798770e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2370634638207862e-02	2.9999961385541396e+03
6.5000000000000036e-01	7.4728985100919672e+01	0.0000000000000000e+00	9.4185155622495631e-01	0.0000000000000000e+00	-6.4948736055985175e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2364244864161883e-02	2.9999959654528634e+03
6.6000000000000036e-01	7.4724980229205528e+01	0.0000000000000000e+00	9.4185045287533975e-01	0.0000000000000000e+00	-6.5995204285851003e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2357749990556284e-02	2.9999957870965031e+03
6.7000000000000037e-01	7.4720977797216932e+01	0.0000000000000000e+00	9.4184985396420073e-01	0.0000000000000000e+00	-6.7037720598625377e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2351150470127699e-02	2.9999956034023380e+03
6.8000000000000038e-01	7.4716977814701437e+01	0.0000000000000000e+00	9.4184976023228772e-01	0.0000000000000000e+00	-6.8076840258190986e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2344446698067836e-02	2.9999954142879456e+03
